GEO_CODE,name,GEO_TYPE,GEO_TYP2,population,Population (usual residents) : All dependent children in households - Unit : Persons,Population (usual residents) : Schoolchild or full-time student aged 4 and over at their non-term-time address - Unit : Persons,Population (usual residents) : Density (number of persons per Hectare) - Unit : Persons,Population (usual residents) : All usual residents in households - Unit : Persons,Population (usual residents) : All usual residents in communal establishments (including people enumerated as sleeping rough) - Unit : Persons,Population (usual residents) : All usual residents in communal establishments - Unit : Persons,Population (usual residents) : All households - Unit : Households,Population (usual residents) : All communal establishments - Unit : Communal establishments,Population (usual residents) : Area (Hectares) - Unit : Hectares
E09000021,Kingston upon Thames,Local Authorities,LA,160060,,2639,42.9727,156358,3702,3702,63639,,3724.69
E09000022,Lambeth,Local Authorities,LA,303086,,3186,113.0016,300101,2985,2985,130017,,2682.14
E09000023,Lewisham,Local Authorities,LA,275885,,2897,78.49818,273342,2543,2543,116091,,3514.54
E09000024,Merton,Local Authorities,LA,199693,,2866,53.09755,198217,1476,1476,78757,,3760.87
E09000025,Newham,Local Authorities,LA,307984,,2461,85.02303,306009,1975,1975,101519,,3622.36
E09000026,Redbridge,Local Authorities,LA,278970,,3793,49.45277,277323,1647,1647,99105,,5641.14
E09000027,Richmond upon Thames,Local Authorities,LA,186990,,3661,32.56803,184098,2892,2892,79835,,5741.52
E09000028,Southwark,Local Authorities,LA,288283,,3087,99.91058,282560,5723,5723,120422,,2885.41
E09000029,Sutton,Local Authorities,LA,190146,,2587,43.36263,188695,1451,1451,78174,,4385.02
E09000030,Tower Hamlets,Local Authorities,LA,254096,,1497,128.5325,250343,3753,3753,101257,,1976.9
E09000031,Waltham Forest,Local Authorities,LA,258249,,2149,66.53501,256615,1634,1634,96861,,3881.4
E09000032,Wandsworth,Local Authorities,LA,306995,,4236,89.59983,301648,5347,5347,130493,,3426.29
E41000052,Cornwall; Isles of Scilly,Local Authorities,LA,534476,,6185,,525555,8921,8921,231378,,356256
E41000324,City of London; Westminster,Local Authorities,LA,226771,,3249,,220395,6376,6376,110157,,2438
S12000005,Clackmannanshire,Local Authorities,LA,51442,10587,469,3.24,50439,1003,1003,22734,25,15864
S12000006,Dumfries & Galloway,Local Authorities,LA,151324,28670,1810,0.24,149341,1983,1983,67980,289,642620
S12000008,East Ayrshire,Local Authorities,LA,122767,24775,612,0.97,121306,1461,1461,53919,57,126212
S12000010,East Lothian,Local Authorities,LA,99717,20907,1191,1.47,97819,1898,1898,42905,80,67918
S12000011,East Renfrewshire,Local Authorities,LA,90574,20981,687,5.21,89988,586,586,37225,26,17379
S12000013,Eilean Siar,Local Authorities,LA,27684,5269,487,0.09,27318,366,366,12576,90,305950
S12000014,Falkirk,Local Authorities,LA,155990,31862,710,5.25,154192,1798,1798,68732,84,29736
S12000015,Fife,Local Authorities,LA,365198,72958,3297,2.76,357440,7758,7758,160952,322,132486
S12000017,Highland,Local Authorities,LA,232132,46549,3363,0.09,228364,3768,3768,102091,561,2568389
S12000018,Inverclyde,Local Authorities,LA,81485,15841,418,5.08,80261,1224,1224,37434,55,16044
S12000019,Midlothian,Local Authorities,LA,83187,17540,498,2.35,82257,930,930,34978,65,35369
S12000020,Moray,Local Authorities,LA,93295,18915,1190,0.42,91203,2092,2092,40062,129,223756
S12000021,North Ayrshire,Local Authorities,LA,138146,28148,722,1.56,136609,1537,1537,62498,130,88534
S12000023,Orkney Islands,Local Authorities,LA,21349,4100,446,0.22,21151,198,198,9725,69,98980
S12000024,Perth & Kinross,Local Authorities,LA,146652,27770,2011,0.28,142139,4513,4513,64777,317,528558
S12000026,Scottish Borders,Local Authorities,LA,113870,21867,1728,0.24,112589,1281,1281,52498,195,473174
S12000027,Shetland Islands,Local Authorities,LA,23167,5002,445,0.16,22981,186,186,9950,55,146665
S12000028,South Ayrshire,Local Authorities,LA,112799,21212,1083,0.92,111270,1529,1529,51286,148,122198
